Time: 12:01:09.072241| SYSTEM   | Connect events done
Time: 12:01:09.094215| SYSTEM   | Pictures init done
Time: 12:01:09.096413| SYSTEM   | Frame initialized and ready
Time: 12:01:09.099337| DEBUG    | func: 9| mode: 1| size: 12| data: update (11s)
Time: 12:01:09.174114| LOG      | [INFO]: received: update (11s)
Time: 12:01:09.201549| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 12:01:09.275428| SENSOR   | Yaw value received: 0.0
Time: 12:01:09.275428| SYSTEM   | Changed compass orientation
Time: 12:01:09.508389| DEBUG    | func: 9| mode: 1| size: 12| data: update (12s)
Time: 12:01:09.575947| LOG      | [INFO]: received: update (12s)
Time: 12:01:09.608793| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 12:01:09.676321| SENSOR   | Yaw value received: 0.0
Time: 12:01:09.676321| SYSTEM   | Changed compass orientation
Time: 12:01:10.016203| DEBUG    | func: 9| mode: 1| size: 12| data: update (12s)
Time: 12:01:10.078876| LOG      | [INFO]: received: update (12s)
Time: 12:01:10.118268| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 12:01:10.179858| SENSOR   | Yaw value received: 0.0
Time: 12:01:10.179858| SYSTEM   | Changed compass orientation
Time: 12:01:10.528984| DEBUG    | func: 9| mode: 1| size: 12| data: update (13s)
Time: 12:01:10.583254| LOG      | [INFO]: received: update (13s)
Time: 12:01:10.632159| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 12:01:10.683803| SENSOR   | Yaw value received: 0.0
Time: 12:01:10.683803| SYSTEM   | Changed compass orientation
Time: 12:01:11.050460| DEBUG    | func: 9| mode: 1| size: 12| data: update (13s)
Time: 12:01:11.086583| LOG      | [INFO]: received: update (13s)
Time: 12:01:11.153180| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 12:01:11.187448| SENSOR   | Yaw value received: 0.0
Time: 12:01:11.187448| SYSTEM   | Changed compass orientation
Time: 12:01:11.572366| DEBUG    | func: 9| mode: 1| size: 12| data: update (14s)
Time: 12:01:11.590300| LOG      | [INFO]: received: update (14s)
Time: 12:01:11.675123| DEBUG    | func: 6| mode: 1| size: 4| data: 1.6
Time: 12:01:11.691021| SENSOR   | Yaw value received: 1.6
Time: 12:01:11.693046| SYSTEM   | Changed compass orientation
Time: 12:01:12.084372| DEBUG    | func: 9| mode: 1| size: 12| data: update (14s)
Time: 12:01:12.095393| LOG      | [INFO]: received: update (14s)
Time: 12:01:12.186102| DEBUG    | func: 6| mode: 1| size: 4| data: 1.6
Time: 12:01:12.196074| SENSOR   | Yaw value received: 1.6
Time: 12:01:12.198069| SYSTEM   | Changed compass orientation
Time: 12:01:12.693202| DEBUG    | func: 9| mode: 1| size: 12| data: update (15s)
Time: 12:01:12.701453| LOG      | [INFO]: received: update (15s)
Time: 12:01:12.796254| DEBUG    | func: 6| mode: 1| size: 4| data: -70.2
Time: 12:01:12.802727| SENSOR   | Yaw value received: -70.2
Time: 12:01:12.805398| SYSTEM   | Changed compass orientation
Time: 12:01:13.203272| DEBUG    | func: 9| mode: 1| size: 12| data: update (15s)
Time: 12:01:13.208639| LOG      | [INFO]: received: update (15s)
Time: 12:01:13.306488| DEBUG    | func: 6| mode: 1| size: 4| data: -70.2
Time: 12:01:13.309487| SENSOR   | Yaw value received: -70.2
Time: 12:01:13.311484| SYSTEM   | Changed compass orientation
Time: 12:01:13.713036| DEBUG    | func: 9| mode: 1| size: 12| data: update (16s)
Time: 12:01:13.715062| LOG      | [INFO]: received: update (16s)
Time: 12:01:13.815772| DEBUG    | func: 6| mode: 1| size: 4| data: -81.0
Time: 12:01:13.916452| SENSOR   | Yaw value received: -81.0
Time: 12:01:13.918450| SYSTEM   | Changed compass orientation
Time: 12:01:14.222556| DEBUG    | func: 9| mode: 1| size: 12| data: update (16s)
Time: 12:01:14.321948| LOG      | [INFO]: received: update (16s)
Time: 12:01:14.324509| DEBUG    | func: 6| mode: 1| size: 4| data: -81.0
Time: 12:01:14.422920| SENSOR   | Yaw value received: -81.0
Time: 12:01:14.424950| SYSTEM   | Changed compass orientation
Time: 12:01:14.731430| DEBUG    | func: 9| mode: 1| size: 12| data: update (17s)
Time: 12:01:14.827805| LOG      | [INFO]: received: update (17s)
Time: 12:01:14.833465| DEBUG    | func: 6| mode: 1| size: 4| data: -106.8
Time: 12:01:14.928714| SENSOR   | Yaw value received: -106.8
Time: 12:01:14.930711| SYSTEM   | Changed compass orientation
Time: 12:01:15.240402| DEBUG    | func: 9| mode: 1| size: 12| data: update (17s)
Time: 12:01:15.334574| LOG      | [INFO]: received: update (17s)
Time: 12:01:15.343486| DEBUG    | func: 6| mode: 1| size: 4| data: -106.8
Time: 12:01:15.436177| SENSOR   | Yaw value received: -106.8
Time: 12:01:15.438806| SYSTEM   | Changed compass orientation
Time: 12:01:15.750225| DEBUG    | func: 9| mode: 1| size: 12| data: update (18s)
Time: 12:01:15.839634| LOG      | [INFO]: received: update (18s)
Time: 12:01:15.854208| DEBUG    | func: 6| mode: 1| size: 4| data: -115.6
Time: 12:01:15.940315| SENSOR   | Yaw value received: -115.6
Time: 12:01:15.942339| SYSTEM   | Changed compass orientation
Time: 12:01:16.260531| DEBUG    | func: 9| mode: 1| size: 12| data: update (18s)
Time: 12:01:16.345778| LOG      | [INFO]: received: update (18s)
Time: 12:01:16.363838| DEBUG    | func: 6| mode: 1| size: 4| data: -115.6
Time: 12:01:16.446701| SENSOR   | Yaw value received: -115.6
Time: 12:01:16.448725| SYSTEM   | Changed compass orientation
Time: 12:01:16.776832| DEBUG    | func: 9| mode: 1| size: 12| data: update (19s)
Time: 12:01:16.853197| LOG      | [INFO]: received: update (19s)
Time: 12:01:16.879544| DEBUG    | func: 6| mode: 1| size: 4| data: -116.1
Time: 12:01:16.953969| SENSOR   | Yaw value received: -116.1
Time: 12:01:16.956963| SYSTEM   | Changed compass orientation
Time: 12:01:17.286883| DEBUG    | func: 9| mode: 1| size: 12| data: update (19s)
Time: 12:01:17.359513| LOG      | [INFO]: received: update (19s)
Time: 12:01:17.389009| DEBUG    | func: 6| mode: 1| size: 4| data: -116.1
Time: 12:01:17.460513| SENSOR   | Yaw value received: -116.1
Time: 12:01:17.462536| SYSTEM   | Changed compass orientation
Time: 12:01:17.896854| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:01:17.966559| LOG      | [INFO]: received: update (20s)
Time: 12:01:17.999550| DEBUG    | func: 6| mode: 1| size: 4| data: -118.0
Time: 12:01:18.067447| SENSOR   | Yaw value received: -118.0
Time: 12:01:18.069492| SYSTEM   | Changed compass orientation
Time: 12:01:18.404530| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:01:18.471683| LOG      | [INFO]: received: update (20s)
Time: 12:01:18.505888| DEBUG    | func: 6| mode: 1| size: 4| data: -118.0
Time: 12:01:18.572386| SENSOR   | Yaw value received: -118.0
Time: 12:01:18.574410| SYSTEM   | Changed compass orientation
Time: 12:01:18.913262| DEBUG    | func: 9| mode: 1| size: 12| data: update (21s)
Time: 12:01:18.978850| LOG      | [INFO]: received: update (21s)
Time: 12:01:19.015674| DEBUG    | func: 6| mode: 1| size: 4| data: -118.8
Time: 12:01:19.079789| SENSOR   | Yaw value received: -118.8
Time: 12:01:19.082812| SYSTEM   | Changed compass orientation
