Time: 17:53:25.810281| SYSTEM   | Connect events done
Time: 17:53:25.837862| SYSTEM   | Pictures init done
Time: 17:53:25.839859| SYSTEM   | Frame initialized and ready
Time: 17:53:25.914740| SENSOR   | Roll value received: 0.009
Time: 17:53:26.015319| SENSOR   | Pitch value received: 0.012
Time: 17:53:26.116096| SENSOR   | Yaw value received: 30.417
Time: 17:53:26.116096| DEBUG    | Yaw value is float
Time: 17:53:26.116096| SYSTEM   | Changed compass orientation
Time: 17:53:26.725372| SENSOR   | Roll value received: 0.01
Time: 17:53:26.826123| SENSOR   | Pitch value received: 0.013
Time: 17:53:26.926964| SENSOR   | Yaw value received: 49.41
Time: 17:53:26.926964| DEBUG    | Yaw value is float
Time: 17:53:26.926964| SYSTEM   | Changed compass orientation
Time: 17:53:27.837627| SENSOR   | Roll value received: 0.01
Time: 17:53:27.938486| SENSOR   | Pitch value received: 0.011
Time: 17:53:28.039279| SENSOR   | Yaw value received: 49.704
Time: 17:53:28.039279| DEBUG    | Yaw value is float
Time: 17:53:28.039279| SYSTEM   | Changed compass orientation
Time: 17:53:28.848261| SENSOR   | Roll value received: 0.008
Time: 17:53:28.948534| SENSOR   | Pitch value received: 0.013
Time: 17:53:29.049445| SENSOR   | Yaw value received: 49.938
Time: 17:53:29.049445| DEBUG    | Yaw value is float
Time: 17:53:29.049445| SYSTEM   | Changed compass orientation
Time: 17:53:29.859531| SENSOR   | Roll value received: 0.007
Time: 17:53:29.960711| SENSOR   | Pitch value received: 0.006
Time: 17:53:30.061401| SENSOR   | Yaw value received: 49.121
Time: 17:53:30.061401| DEBUG    | Yaw value is float
Time: 17:53:30.061401| SYSTEM   | Changed compass orientation
Time: 17:53:30.871349| SENSOR   | Roll value received: 0.011
Time: 17:53:30.972421| SENSOR   | Pitch value received: 0.013
Time: 17:53:31.073553| SENSOR   | Yaw value received: 48.655
Time: 17:53:31.073553| DEBUG    | Yaw value is float
Time: 17:53:31.073553| SYSTEM   | Changed compass orientation
Time: 17:53:31.882359| SENSOR   | Roll value received: 0.04
Time: 17:53:31.983303| SENSOR   | Pitch value received: -0.042
Time: 17:53:32.084591| SENSOR   | Yaw value received: 48.879
Time: 17:53:32.084591| DEBUG    | Yaw value is float
Time: 17:53:32.084591| SYSTEM   | Changed compass orientation
Time: 17:53:32.892132| SENSOR   | Roll value received: 0.011
Time: 17:53:32.993332| SENSOR   | Pitch value received: 0.013
Time: 17:53:33.094011| SENSOR   | Yaw value received: 49.092
Time: 17:53:33.094011| DEBUG    | Yaw value is float
Time: 17:53:33.094011| SYSTEM   | Changed compass orientation
Time: 17:53:33.903821| SENSOR   | Roll value received: 0.009
Time: 17:53:34.004968| SENSOR   | Pitch value received: 0.014
Time: 17:53:34.105805| SENSOR   | Yaw value received: 48.483
Time: 17:53:34.105805| DEBUG    | Yaw value is float
Time: 17:53:34.105805| SYSTEM   | Changed compass orientation
Time: 17:53:35.016372| SENSOR   | Roll value received: 0.014
Time: 17:53:35.117514| SENSOR   | Pitch value received: 0.015
Time: 17:53:35.319597| SENSOR   | Yaw value received: 48.296
Time: 17:53:35.319597| DEBUG    | Yaw value is float
Time: 17:53:35.319597| SYSTEM   | Changed compass orientation
Time: 17:53:36.129617| SENSOR   | Roll value received: 0.013
Time: 17:53:36.230667| SENSOR   | Pitch value received: 0.013
Time: 17:53:36.331651| SENSOR   | Yaw value received: 48.097
Time: 17:53:36.331651| DEBUG    | Yaw value is float
Time: 17:53:36.331651| SYSTEM   | Changed compass orientation
Time: 17:53:37.141097| SENSOR   | Roll value received: 0.012
Time: 17:53:37.242225| SENSOR   | Pitch value received: 0.015
Time: 17:53:37.343450| SENSOR   | Yaw value received: 47.3
Time: 17:53:37.343450| DEBUG    | Yaw value is float
Time: 17:53:37.343450| SYSTEM   | Changed compass orientation
Time: 17:53:38.154918| SENSOR   | Roll value received: 0.013
Time: 17:53:38.255815| SENSOR   | Pitch value received: 0.012
Time: 17:53:38.356708| SENSOR   | Yaw value received: 49.063
Time: 17:53:38.356708| DEBUG    | Yaw value is float
Time: 17:53:38.356708| SYSTEM   | Changed compass orientation
Time: 17:53:39.165812| SENSOR   | Roll value received: 0.008
Time: 17:53:39.267019| SENSOR   | Pitch value received: 0.011
Time: 17:53:39.368173| SENSOR   | Yaw value received: 48.992
Time: 17:53:39.368173| DEBUG    | Yaw value is float
Time: 17:53:39.368173| SYSTEM   | Changed compass orientation
Time: 17:53:40.176727| SENSOR   | Roll value received: 0.011
Time: 17:53:40.277388| SENSOR   | Pitch value received: 0.014
Time: 17:53:40.377969| SENSOR   | Yaw value received: 47.857
Time: 17:53:40.377969| DEBUG    | Yaw value is float
Time: 17:53:40.377969| SYSTEM   | Changed compass orientation
Time: 17:53:41.188453| SENSOR   | Roll value received: 0.01
Time: 17:53:41.289627| SENSOR   | Pitch value received: 0.013
Time: 17:53:41.390813| SENSOR   | Yaw value received: 48.949
Time: 17:53:41.390813| DEBUG    | Yaw value is float
Time: 17:53:41.390813| SYSTEM   | Changed compass orientation
Time: 17:53:42.302097| SENSOR   | Roll value received: 0.008
Time: 17:53:42.403072| SENSOR   | Pitch value received: 0.011
Time: 17:53:42.504165| SENSOR   | Yaw value received: 49.092
Time: 17:53:42.504165| DEBUG    | Yaw value is float
Time: 17:53:42.504165| SYSTEM   | Changed compass orientation
Time: 17:53:43.311468| SENSOR   | Roll value received: 0.004
Time: 17:53:43.412752| SENSOR   | Pitch value received: 0.01
Time: 17:53:43.513726| SENSOR   | Yaw value received: 49.537
Time: 17:53:43.513726| DEBUG    | Yaw value is float
Time: 17:53:43.513726| SYSTEM   | Changed compass orientation
Time: 17:53:44.322881| SENSOR   | Roll value received: 0.015
Time: 17:53:44.423810| SENSOR   | Pitch value received: 0.017
Time: 17:53:44.524624| SENSOR   | Yaw value received: 49.077
Time: 17:53:44.524624| DEBUG    | Yaw value is float
Time: 17:53:44.524624| SYSTEM   | Changed compass orientation
Time: 17:53:45.334662| SENSOR   | Roll value received: 0.01
Time: 17:53:45.435667| SENSOR   | Pitch value received: 0.009
Time: 17:53:45.536775| SENSOR   | Yaw value received: 48.108
Time: 17:53:45.536775| DEBUG    | Yaw value is float
Time: 17:53:45.538831| SYSTEM   | Changed compass orientation
Time: 17:53:46.345392| SENSOR   | Roll value received: 0.007
Time: 17:53:46.446648| SENSOR   | Pitch value received: 0.009
Time: 17:53:46.547519| SENSOR   | Yaw value received: 48.907
Time: 17:53:46.547519| DEBUG    | Yaw value is float
Time: 17:53:46.547519| SYSTEM   | Changed compass orientation
Time: 17:53:47.358019| SENSOR   | Roll value received: 0.008
Time: 17:53:47.459049| SENSOR   | Pitch value received: 0.01
Time: 17:53:47.560044| SENSOR   | Yaw value received: 49.245
Time: 17:53:47.560044| DEBUG    | Yaw value is float
Time: 17:53:47.560044| SYSTEM   | Changed compass orientation
Time: 17:53:48.571918| SENSOR   | Roll value received: 0.012
Time: 17:53:48.672793| SENSOR   | Pitch value received: 0.016
Time: 17:53:48.773417| SENSOR   | Yaw value received: 48.446
Time: 17:53:48.773417| DEBUG    | Yaw value is float
Time: 17:53:48.775948| SYSTEM   | Changed compass orientation
Time: 17:53:49.584771| SENSOR   | Roll value received: 0.01
Time: 17:53:49.685787| SENSOR   | Pitch value received: 0.011
Time: 17:53:49.786863| SENSOR   | Yaw value received: 49.671
Time: 17:53:49.786863| DEBUG    | Yaw value is float
Time: 17:53:49.786863| SYSTEM   | Changed compass orientation
Time: 17:53:50.597526| SENSOR   | Roll value received: 0.009
Time: 17:53:50.698690| SENSOR   | Pitch value received: 0.01
Time: 17:53:50.798781| SENSOR   | Yaw value received: 49.23
Time: 17:53:50.798781| DEBUG    | Yaw value is float
Time: 17:53:50.798781| SYSTEM   | Changed compass orientation
Time: 17:53:51.608350| SENSOR   | Roll value received: 0.008
Time: 17:53:51.709333| SENSOR   | Pitch value received: 0.011
Time: 17:53:51.810533| SENSOR   | Yaw value received: 48.642
Time: 17:53:51.810533| DEBUG    | Yaw value is float
Time: 17:53:51.810533| SYSTEM   | Changed compass orientation
Time: 17:53:52.621052| SENSOR   | Roll value received: 0.009
Time: 17:53:52.721593| SENSOR   | Pitch value received: 0.013
Time: 17:53:52.822664| SENSOR   | Yaw value received: 49.063
Time: 17:53:52.822664| DEBUG    | Yaw value is float
Time: 17:53:52.822664| SYSTEM   | Changed compass orientation
Time: 17:53:53.632363| SENSOR   | Roll value received: 0.012
Time: 17:53:53.733635| SENSOR   | Pitch value received: 0.011
Time: 17:53:53.834491| SENSOR   | Yaw value received: 48.261
Time: 17:53:53.834491| DEBUG    | Yaw value is float
Time: 17:53:53.834491| SYSTEM   | Changed compass orientation
Time: 17:53:54.744992| SENSOR   | Roll value received: 0.01
Time: 17:53:54.846211| SENSOR   | Pitch value received: 0.012
Time: 17:53:54.947330| SENSOR   | Yaw value received: 49.72
Time: 17:53:54.947330| DEBUG    | Yaw value is float
Time: 17:53:54.947330| SYSTEM   | Changed compass orientation
Time: 17:53:55.755655| SENSOR   | Roll value received: 0.013
Time: 17:53:55.856632| SENSOR   | Pitch value received: 0.011
Time: 17:53:55.957732| SENSOR   | Yaw value received: 48.25
Time: 17:53:55.957732| DEBUG    | Yaw value is float
Time: 17:53:55.957732| SYSTEM   | Changed compass orientation
Time: 17:53:56.768580| SENSOR   | Roll value received: 0.006
Time: 17:53:56.869072| SENSOR   | Pitch value received: 0.011
Time: 17:53:56.969476| SENSOR   | Yaw value received: 47.275
Time: 17:53:56.969476| DEBUG    | Yaw value is float
Time: 17:53:56.969476| SYSTEM   | Changed compass orientation
Time: 17:53:57.780198| SENSOR   | Roll value received: 0.009
