Time: 09:10:57.314368| SYSTEM   | Connect events done
Time: 09:10:57.342403| SYSTEM   | Pictures init done
Time: 09:10:57.346367| SYSTEM   | Frame initialized and ready
Time: 09:10:57.418367| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:10:58.555228| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:10:59.900417| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:11:01.148459| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:11:02.494050| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:11:03.738665| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:11:05.091081| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:11:06.212675| SYSTEM   | Device ZigBee closed
Time: 09:11:06.212675| SYSTEM   | Thread to update gui ended
